Index,Week,Timestamp,Rank,First appear,Watchface Name,Is Sport Tag,Official tags,Link,Watchface Thumbnail,Data Types,displayForm,data+displayForm,onlyIcon,Number of data types,Size of the visualizations,How is data identified,Representations beyond text,What data is visualized as a chart,Proportion data types,Corresponding proportion charts,Proportion Chart,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Animation,UI Style,Official tags,"Watch type (Analog, Digital,Hybrid)",Color Hue (Color except balck white grey),Website,Paid,,Proportion Chart analysis
4,1,14/03/2021 22:00,4,yes,CW4U SPORT,TRUE,Futuristic;sport;dark;orange;elegant;minimal;modern;complete;,https://www.facer.io/watchface/WtM42AiuXh?watchModel=galaxyactive2,,time;date;temperature;weather;weather forecast;watch battery;phone battery;steps;distance;calories;heart rate;moon;,text;text;icon+text;chart+text;chart+text;text;text;text;icon+text;chart+text;,temperature=text;weather=text;weather forecast=icon+text;watch battery=chart+text;phone battery=chart+text;steps=text;distance=text;calories=text;heart rate=icon+text;moon=chart+text;,none;,10,moderate ,icon;text-as-data content;values;data shape/symbol,weather icon,watch battery;phone battery;steps;,watch battery;steps;phone battery;,arc+text;arc+text;arc+text;,arc;,logo;container;divider;,heart rate;,flat,Futuristic;sport;dark;orange;elegant;minimal;modern;complete;,hybrid,1,Facer,Premium,,arc;
5,1,14/03/2021 22:00,5,yes,HIGH F02 - Black Ops Series,TRUE,Military;sport;military;themes;digital;hybrid;camo;health;,https://www.facer.io/watchface/p44kv1sxVX?watchModel=galaxywatch3,,time;date;day;watch battery;steps;heart rate;moon;distance;,icon+text;chart+text;chart+text;chart;text;,watch battery=icon+text;steps=chart+text;heart rate=chart+text;moon=chart;distance=text;,none;,5,small,text-as-data content;values;data shape/symbol,,heart rate;steps;,watch battery;steps;heart rate;,text;gauge;gauge;,gauge;,container;,no;,skeuomorphism,Military;sport;military;themes;digital;hybrid;camo;health;,hybrid,1,Facer,Premium,,gauge;
9,1,14/03/2021 22:00,9,yes,RZ238 PRO,TRUE,Sports;cool;fresh;full;dashboard;rzwatchfaces;,https://www.facer.io/watchface/i2oFeM9YuH?watchModel=galaxyactive2,,time;date;day;temperature;location;weather;watch battery;steps;distance;heart rate;,text;text;icon;chart+icon+text;text;text;text;,temperature=text;location=text;weather=icon;watch battery=chart+icon+text;steps=text;distance=text;heart rate=text;,weather;,7,small,text-as-label;text-as-data;icon-as-data;data-symbol;hue/highlight,weather icon,watch battery;steps;,watch battery;,text;,bar+pictogram;,logo;divider;container;,decoration;,flat,Sports;cool;fresh;full;dashboard;rzwatchfaces;,digital,2,Facer,Premium,,bar+pictogram;
14,1,14/03/2021 22:00,14,yes,HIGH F05 - Eco Series,TRUE,Military;flat;health;sport;tactical;colorful;data;digital;retro;animated;,https://www.facer.io/watchface/5nk7zVRPaW?watchModel=galaxywatch3,,time;date;day;heart rate;steps;distance;location;moon;altitude;weather;temperature;,icon+text;text;text;text;chart;text;icon;text;,heart rate =icon+text;steps=text;distance=text;location=text;moon=chart;altitude=text;weather=icon;temperature=text;,weather;,8,small,text-as-label; icon-as-label;text-as-data-content;icon-as-data,weather-icon,watch battery;day;heart rate,watch battery;,text;,bar+pictogram;,logo;background;container;divider;,heart rate;,flat,Military;flat;health;sport;tactical;colorful;data;digital;retro;animated;,digital,1,Facer,Premium,,bar+pictogram;
15,1,14/03/2021 22:00,15,yes,B# - Starlight Hybrid,TRUE,Realistic;mechanical;analog;luxury;realistic;b#;b sharp;bsharp;elegant;black;sport;blue;hybrid;lume;digital;modern;,https://www.facer.io/watchface/Jto2KaNYfz?watchModel=michaelkorsaccessgrayson,,time;date;watch battery;,chart;,watch battery=chart;,none;,1,,no clue,,watch battery;,watch battery;,gauge;,gauge;,logo;background;screen border;container;,no;,skeuomorphism,Realistic;mechanical;analog;luxury;realistic;b#;b sharp;bsharp;elegant;black;sport;blue;hybrid;lume;digital;modern;,analog,1,Facer,Premium,,gauge;
18,1,14/03/2021 22:00,18,yes,FASTER | 205,TRUE,Geek;sport;retro;digital;health;flat;data;lcd;,https://www.facer.io/watchface/yJ2CK7eet2?watchModel=galaxyactive2,,time;date;day;watch battery;steps;heart rate;,icon+text;icon+text;icon+text;,watch battery=icon+text;steps=icon+text;heart rate=icon+text;,none;,3,small,icon-as-label;text-as-label;,,day;,watch battery;,text;,no;,logo;background;screen border;container;divider;,no;,semi-flat,Geek;sport;retro;digital;health;flat;data;lcd;,digital,1,Facer,Premium,,no;
24,1,14/03/2021 22:00,24,yes,GRR | AEON - X501,TRUE,Futuristic;grr;tacticals;themeable;sport;digital;information;gradient;,https://www.facer.io/watchface/pRI0Sgwhcj?watchModel=armaniconnected,,time;date;day;heart rate;distance;steps;calories;watch battery;,icon+text;icon+text;text;text;icon+text;,heart rate=icon+text;distance=icon+text;steps=text;calories=text;watch battery=icon+text;,none;,5,big,icon+text-as-label; text-as-label; text-as-value; text+chart-as-value,,steps;calories;,watch battery;steps;calories;,text;discrete arc;discrete arc;,arc+pictogram;,logo;background;screen border;container;,no;,skeuomorphism,Futuristic;grr;tacticals;themeable;sport;digital;information;gradient;,digital,3,Facer,Premium,,arc+pictogram;
28,1,14/03/2021 22:00,28,yes,HaDe Sportsman X v2 ,TRUE,Sports;monnphase;hade sportsman;,https://www.facer.io/watchface/Kn1kdSfTbw?watchModel=montblancsummit2blackcaseblacksport,,time;watch battery;date;day;heart rate;steps;weather;wind direction;moon;sun;,chart+icon+text;icon+text;chart+icon;icon;icon+text;icon+text;chart;,watch battery=chart+icon+text;heart rate=icon+text;steps=chart+icon;weather=icon;wind direction=icon+text;moon=chart;sun=chart;,weather;,7,,icon-as-label;indicator-as-label;icon-as-value,,watch battery;sunrise;sunset;steps;heart rate;wind direction;,watch battery;steps;heart rate;,discrete donut+text;discrete donut;discrete arc;,donut+pictogram;,logo;background;container;,no;,semi-flat,Sports;monnphase;hade sportsman;,analog,3,Facer,Premium,,donut+pictogram;
38,1,14/03/2021 22:00,38,yes,LAZ | Chronos Mono,TRUE,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;power reserve;step counter;10k challenge;trending;,https://www.facer.io/watchface/PoiMmd0w29?watchModel=fossilqexplorist,,time;date;day;weather;temperature;wind speed;wind direction;watch battery;steps;heart rate;distance;calories;sun;moon;,icon;text;text;icon;text;text;icon+text;icon+text;icon+text;text;chart;,weather=icon;temperature=text;wind speed=text;wind direction=icon;watch battery=text;steps=text;heart rate=icon+text;distance=icon+text;calories=icon+text;sun=text;moon=chart;,weather;wind direction;,11,,,,hour;minute;watch battery;steps;,watch battery;steps;,bar+text;bar;,bar;,logo;container;,no;,semi-flat,Sports;date;heart rate;calendar;weather;digital;temperature;sunset;sunrise;power reserve;step counter;10k challenge;trending;,hybrid,1,Facer,Premium,,bar;
46,1,14/03/2021 22:00,46,yes,CW4U-2021,TRUE,Futuristic;minimal;elegant;complete;customizable;fashion;trendy;sport;orange;professional;,https://www.facer.io/watchface/VWpFNTGFiO?watchModel=galaxyactive2,,time;date;day;distance;calories;steps;moon;sun;heart rate;watch battery;phone battery;,text;text;icon+text;chart;icon+text;icon+text;chart+text;chart+text;,distance=text;calories=text;steps=icon+text;moon=chart;sun=icon+text;heart rate=icon+text;watch battery=chart+text;phone battery=chart+text;,none;,8,,,,watch battery;phone battery;day;steps;,watch battery;steps;phone battery;,arc+text;arc+text;arc+text;,arc;,logo;container;,steps;heart rate;watch battery;decoration;,flat,Futuristic;minimal;elegant;complete;customizable;fashion;trendy;sport;orange;professional;,hybrid,1,Facer,Premium,,arc;
