ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
1,2022-09-18,1,https://www.facer.io/watchface/aqoBiBWa1P?watchModel=applewatchultrastarlight,RZAW94,,yes,flat,container;divider;,1,no;,time;date;day;steps;heart rate;distance;watch battery;,icon+text+chart;icon+text;icon+text+chart;icon+text+chart;,steps=icon+text+chart;heart rate=icon+text;distance=icon+text+chart;watch battery=icon+text+chart;,none;,digital,no;,4,apple
2,2022-09-18,2,https://www.facer.io/watchface/BuIDNbM3YK?watchModel=applewatchultragreen,RZ293,,yes,flat,no;,0,no;,time;date;day;steps;standing time;exercise time;calories;watch battery;sun;temperature;weather;,chart+text;chart+icon+text;chart+icon+text;chart+icon+text;chart+icon;icon+text;icon+text;icon;,steps=chart+text;standing time=chart+icon+text;exercise time=chart+icon+text;movement calorie burn=chart+icon+text;watch battery=chart+icon;sun=icon+text;temperature=icon+text;weather=icon;,weather;,digital,no;,8,apple
3,2022-09-18,3,https://www.facer.io/watchface/rk3bHY6tr0?watchModel=applewatch4sportwhite,MOD-411 Active Moon Phase,,yes,semi-flat,container;logo;,0,no;,time;date;day;steps;standing time;exercise time;calories;moon;temperature;,text;text;text;text;icon;chart+text;,steps=text;standing time=text;exercise time=text;calories=text;moon=icon;temperature=chart+text;,moon;,analog,no;,6,apple
4,2022-09-18,4,https://www.facer.io/watchface/w0EskhUyX4?watchModel=applewatch7orange,Hello FALL!,,yes,semi-flat,container;design;,2,no;,time;date;day;steps;heart rate;calories;temperature;watch battery;,text;text;text;text;text;,steps=text;heart rate=text;calories=text;temperature=text;watch battery=text;,none;,digital,no;,5,apple
5,2022-09-18,5,https://www.facer.io/watchface/RMi3uzvbF9?watchModel=applewatch7black,Smart Flip Black,,yes,semi-flat,container;,1,no;,time;date;day;temperature;weather;,text;icon+text;,temperature=text;weather=icon+text;,none;,digital,no;,2,apple
6,2022-09-18,6,https://www.facer.io/watchface/pjWrntzZpb?watchModel=applewatch4sportwhite,MOD-416 Weather Watch,,yes,skeuomorphism,container;,1,no;,time;temperature;weather;watch battery;humidity;,text;icon;text;text;,temperature=text;weather=icon;watch battery=text;humidity=text;,weather;,analog,no;,4,apple
7,2022-09-18,7,https://www.facer.io/watchface/RD8bUCYraB?watchModel=applewatch7black,Flip 1 Gold ,,yes,semi-flat,container;,3,no;,time;date;day;steps;distance;watch battery;weather;,icon+text;text;icon+text;icon+text;,steps=icon+text;distance=text;watch battery=icon+text;weather=icon+text;,none;,digital,no;,4,apple
8,2022-09-18,8,https://www.facer.io/watchface/qDsm8k60Ct?watchModel=applewatchseries8silver,RZAW95,,yes,flat,container;divider;,1,no;,time;date;day;temperature;heart rate;distance;calories;steps;exercise time;watch battery;,text;text;text;text;text;text;icon+text;,temperature=text;heart rate=text;distance=text;calories=text;steps=text;exercise time=text;watch battery=icon+text;,none;,digital,no;,7,apple
9,2022-09-18,9,https://www.facer.io/watchface/BhoPz5h0wb?watchModel=applewatch4sportwhite,MOD-415 Aviator,,yes,skeuomorphism,container;,1,no;,time;date;day;heart rate;steps;watch battery;,chart+text;chart+text;chart+text;,heart rate=chart+text;steps=chart+text;watch battery=chart+text;,none;,analog,no;,3,apple
10,2022-09-18,10,https://www.facer.io/watchface/caqDwigRVu?watchModel=applewatch7black,Flip Gold,,yes,semi-flat,container;,2,no;,time;date;day;steps;distance;watch battery;,text;text;text;,steps=text;distance=text;watch battery=text;,none;,digital,no;,3,apple
11,2022-09-18,11,https://www.facer.io/watchface/f79nqtEDFF?watchModel=applewatch4sportwhite,MOD-418 Elegance,,yes,skeuomorphism,container;,1,no;,time;date;day;steps;watch battery;weather;,chart+text;chart+text;con;,steps=chart+text;watch battery=chart+text;weather=icon;,weather;,analog,no;,3,apple
12,2022-09-18,12,https://www.facer.io/watchface/IF8fVAN0yX?watchModel=applewatch4sportwhite,PD- FOLLOW YOUR DREAMS,,yes,flat,container;design;,5,no;,time;date;day;steps;watch battery;heart rate;,text;chart+icon;icon+text;,steps=text;watch battery=chart+icon;heart rate=icon+text;,none;,digital,no;,3,apple
13,2022-09-18,13,https://www.facer.io/watchface/2FGSxJoai8?watchModel=applewatch4sportwhitee,HIGH N.9 - Rainbow,,yes,flat,container;background;,5,no;,time;distance;watch battery;heart rate;,icon+text;icon+text;chart+text;,distance=icon+text;watch battery=icon+text;heart rate=chart+text;,none;,digital,yes;,3,apple
14,2022-09-18,14,https://www.facer.io/watchface/nYmroatU7Z?watchModel=applewatch4sportwhite,MOD-420 Sopwith Triplane,,yes,skeuomorphism,container;logo;,1,no;,time;date;day;steps;watch battery;,chart+text;chart+text;,steps=chart+text;watch battery=chart+text;,none;,analog,no;,2,apple
15,2022-09-18,15,https://www.facer.io/watchface/wMiQUgqsDd?watchModel=applewatch7blue,Bold Corner,,yes,flat,container;logo;,1,no;,time;date;day;watch battery;heart rate;,icon+text;chart+icon;,watch battery=icon+text;heart rate=chart+icon;,none;,analog,yes;,2,apple
16,2022-09-18,16,https://www.facer.io/watchface/NHlVtVdtLX?watchModel=applewatch7blue2,PD- SPACE TRAVEL,,yes,flat,container;design;,5,no;,time;date;day;steps;watch battery;heart rate;,text;chart+icon;icon+text;,steps=text;watch battery=chart+icon;heart rate=icon+text;,none;,digital,no;,3,apple
17,2022-09-18,17,https://www.facer.io/watchface/AcfYzB2VSI?watchModel=applewatch7black,CFW KSIO DIGITAL 05 S7,,yes,flat,container;,1,no;,time;date;day;calories;heart rate;steps;watch battery;humidity;temperature;weather;location;,icon+text;icon+text;chart+icon+text;chart+text;text;text;icon;text;,calories=icon+text;heart rate=icon+text;steps=chart+icon+text;watch battery=chart+text;humidity=text;temperature=text;weather=icon;location=text;,weather;,digital,no;,8,apple
18,2022-09-18,18,https://www.facer.io/watchface/VLoTaJlcSP?watchModel=applewatch7orange,Hello Fall,,yes,flat,design;,2,no;,time;date;day;steps;standing time;calories;temperature;weather;watch battery;,text;text;text;text;chart+icon+text;text;icon+text;icon+text;,steps=text;standing time=text;calories=text;heart rate=text;steps=chart+icon+text;temperature=text;weather=icon+text;watch battery=icon+text;,none;,digital,no;,8,apple
19,2022-09-18,19,https://www.facer.io/watchface/63CDBhe42S?watchModel=applewatchultraorange,HIGH N.6 - Explorer,,yes,flat,divider;,2,no;,time;date;day;distance;watch battery;week count;wind direction;,text;text;text;chart+text;,distance=text;watch battery=text;week count=text;wind direction=chart+text;,none;,digital,yes;,4,apple
20,2022-09-18,20,https://www.facer.io/watchface/0p5ugj1Y6W?watchModel=applewatch7orange,Halloween Love,,yes,flat,design;,2,no;,time;date;heart rate;steps;watch battery;,icon+text;icon+text;text;,heart rate=icon+text;steps=icon+text;watch battery=text;,none;,digital,no;,3,apple
